Textbox8,tbToday,Textbox2
Reference Designators,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,SubsiteName,SitePrefix,SiteSuffix,Textbox11,NodeSiteSequence,PortNumber,InstrumentClass,InstrumentSeries,InstrumentSequence,PortMinDepth,PortMaxDepth
CE06ISSM-RI002-05-PCO2W0999,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),002,05,PCO2W,0,999,5,5
CE06ISSM-RI003-01-CTDBP0999,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),003,01,CTDBP,0,999,5,5
CE06ISSM-RI003-02-FLORT0999,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),003,02,FLORT,0,999,5,5
CE06ISSM-RI003-03-OPTAA0999,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),003,03,OPTAA,0,999,5,5
CE06ISSM-RI003-04-NUTNR0999,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),003,04,NUTNR,0,999,5,5
CE06ISSM-RI003-05-SPKIR0999,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),003,05,SPKIR,0,999,5,5
CE06ISSM-SB001-01-VELPT0999,Endurance WA Inshore Surface Mooring ,06,ISSM,SB (Surface Buoy),001,01,VELPT,0,999,1,1
CE06ISSP-SP001-02-DOFST0999,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,02,DOFST,0,999,25,25
CE06ISSP-SP001-03-PCO2W0999,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,03,PCO2W,0,999,25,25
CE06ISSP-SP001-04-OPTAA0999,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,04,OPTAA,0,999,25,25
CE06ISSP-SP001-05-VEL3D0999,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,05,VEL3D,0,999,25,25
CE06ISSP-SP001-06-NUTNR0999,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,06,NUTNR,0,999,25,25
CE06ISSP-SP001-07-SPKIR0999,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,07,SPKIR,0,999,25,25
CE06ISSP-SP001-08-FLORT0999,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,08,FLORT,0,999,25,25
CE06ISSP-SP001-09-CTDPF0999,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,09,CTDPF,0,999,25,25
CE06ISSP-SP001-10-PARAD0999,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,10,PARAD,0,999,25,25
