__pk_jt_ScreenElement_InformationElement_ID,_fk_InformationElement_ID,_fk_ScreenElement_ID,Information Element Type
"2034914","2012941","2162977","Resource Attribute"
"2034915","2010286","2162978","Resource Attribute"
"2034916","2010053","2162979","Resource Attribute"
"2034921","2012916","2162984","Resource Attribute"
"2034922","2012922","2162985","Resource Attribute"
"2034923","2012927","2162986","Resource Attribute"
"2034924","2012933","2162987","Resource Attribute"
"2034925","2012939","2162988","Resource Attribute"
"2034926","2012835","2162989","Resource Attribute"
"2034934","2190011","2162997","Resource Type"
"2034935","2190011","2162998","Resource Type"
"2034936","2190011","2162999","Resource Type"
"2034937","2190011","2163000","Resource Type"
"2034938","2190011","2163001","Resource Type"
"2034940","2190011","2163003","Resource Type"
"2034941","2190011","2163004","Resource Type"
"2034942","2190011","2163005","Resource Type"
"2034943","2190011","2163006","Resource Type"
"2034946","2190011","2163009","Resource Type"
"2034947","2190011","2163010","Resource Type"
"2034951","2190011","2163014","Resource Type"
"2034952","2190014","2163015","Resource Type"
"2034953","2190014","2163016","Resource Type"
"2034954","2190014","2163017","Resource Type"
