Textbox8,tbToday
Node Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Node,Node_Type,Node_Site_Sequence,Attribute,AttributeValue
CP01CNSM-RI003,RI,003,First Deployment Date,2013-11
CP01CNSM-RI003,RI,003,latitude,40.14
CP01CNSM-RI003,RI,003,longitude,70.78
CP01CNSM-RI003,RI,003,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-RI003,RI,003,Relative Depth,
CP01CNSM-SB001,SB,001,depth_port_max,
CP01CNSM-SB001,SB,001,depth_port_min,
CP01CNSM-SB001,SB,001,depth_subsite,133
CP01CNSM-SB001,SB,001,First Deployment Date,2013-11
CP01CNSM-SB001,SB,001,latitude,40.14
CP01CNSM-SB001,SB,001,longitude,70.78
CP01CNSM-SB001,SB,001,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-SB001,SB,001,Relative Depth,
CP01CNSP-SP001,SP,001,depth_port_max,
CP01CNSP-SP001,SP,001,depth_port_min,
CP01CNSP-SP001,SP,001,depth_subsite,133
CP01CNSP-SP001,SP,001,First Deployment Date,2014-09
CP01CNSP-SP001,SP,001,latitude,40.14
CP01CNSP-SP001,SP,001,longitude,70.78
CP01CNSP-SP001,SP,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP01CNSP-SP001,SP,001,Relative Depth,
CP02PMCI-RI001,RI,001,depth_port_max,
CP02PMCI-RI001,RI,001,depth_port_min,
CP02PMCI-RI001,RI,001,depth_subsite,125
CP02PMCI-RI001,RI,001,First Deployment Date,2014-04
CP02PMCI-RI001,RI,001,latitude,40.23
CP02PMCI-RI001,RI,001,longitude,70.88
CP02PMCI-RI001,RI,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP02PMCI-RI001,RI,001,Relative Depth,
CP02PMCI-WF001,WF,001,depth_port_max,
CP02PMCI-WF001,WF,001,depth_port_min,
CP02PMCI-WF001,WF,001,depth_subsite,125
CP02PMCI-WF001,WF,001,First Deployment Date,2014-04
CP02PMCI-WF001,WF,001,latitude,40.23
CP02PMCI-WF001,WF,001,longitude,70.88
CP02PMCI-WF001,WF,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP02PMCI-WF001,WF,001,Relative Depth,
CP02PMCO-RI001,RI,001,depth_port_max,
CP02PMCO-RI001,RI,001,depth_port_min,
CP02PMCO-RI001,RI,001,depth_subsite,150
CP02PMCO-RI001,RI,001,First Deployment Date,2014-04
CP02PMCO-RI001,RI,001,latitude,40.1
CP02PMCO-RI001,RI,001,longitude,70.88
CP02PMCO-RI001,RI,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP02PMCO-RI001,RI,001,Relative Depth,
CP02PMCO-WF001,WF,001,depth_port_max,
CP02PMCO-WF001,WF,001,depth_port_min,
CP02PMCO-WF001,WF,001,depth_subsite,150
CP02PMCO-WF001,WF,001,First Deployment Date,2014-04
CP02PMCO-WF001,WF,001,latitude,40.1
CP02PMCO-WF001,WF,001,longitude,70.88
CP02PMCO-WF001,WF,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP02PMCO-WF001,WF,001,Relative Depth,
CP02PMUI-RI001,RI,001,depth_port_max,
CP02PMUI-RI001,RI,001,depth_port_min,
CP02PMUI-RI001,RI,001,depth_subsite,91.5
CP02PMUI-RI001,RI,001,First Deployment Date,2013-11
CP02PMUI-RI001,RI,001,latitude,40.37
CP02PMUI-RI001,RI,001,longitude,70.78
CP02PMUI-RI001,RI,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP02PMUI-RI001,RI,001,Relative Depth,
CP02PMUI-WF001,WF,001,depth_port_max,
CP02PMUI-WF001,WF,001,depth_port_min,
CP02PMUI-WF001,WF,001,depth_subsite,91.5
CP02PMUI-WF001,WF,001,First Deployment Date,2013-11
CP02PMUI-WF001,WF,001,latitude,40.37
CP02PMUI-WF001,WF,001,longitude,70.78
CP02PMUI-WF001,WF,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP02PMUI-WF001,WF,001,Relative Depth,
CP02PMUO-RI001,RI,001,depth_port_max,
CP02PMUO-RI001,RI,001,depth_port_min,
CP02PMUO-RI001,RI,001,depth_subsite,450
CP02PMUO-RI001,RI,001,First Deployment Date,2013-11
CP02PMUO-RI001,RI,001,latitude,39.94
CP02PMUO-RI001,RI,001,longitude,70.78
CP02PMUO-RI001,RI,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP02PMUO-RI001,RI,001,Relative Depth,
CP02PMUO-WF001,WF,001,depth_port_max,
CP02PMUO-WF001,WF,001,depth_port_min,
CP02PMUO-WF001,WF,001,depth_subsite,450
CP02PMUO-WF001,WF,001,First Deployment Date,2013-11
CP02PMUO-WF001,WF,001,latitude,39.94
CP02PMUO-WF001,WF,001,longitude,70.78
CP02PMUO-WF001,WF,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP02PMUO-WF001,WF,001,Relative Depth,
CP03ISSM-MF004,MF,004,depth_port_max,
CP03ISSM-MF004,MF,004,depth_port_min,
CP03ISSM-MF004,MF,004,depth_subsite,91.5
CP03ISSM-MF004,MF,004,First Deployment Date,2014-09
CP03ISSM-MF004,MF,004,latitude,40.36
CP03ISSM-MF004,MF,004,longitude,70.88
