Textbox8,tbToday,Total_Count3
Instrument Table (Website) (Detailed),Report Generated: 4/28/2014,Total Instruments: 723

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LArray_PublicID,LSubsite_PublicID,LSubsite_Description,NodeType,SClass_PublicID,AlternateClassName,ClassDescription,MMInstrument_Manufacturer,MMInstrument_PublicID,Data_Product,Relative_Depth,Port_Min_Depth,Port_Max_Depth
CE02SHSP-SP001-08-PARADJ999,CE,CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),SP(Surface-Piercing Profiler),PARAD,Photosynthetically Available Radiation,Measures optical attenuation and absorption at 400-700nm wavelengths,WET Labs,ECO PAR,Photosynthetically Active Radiation (400-700 nm),Sea surface to 2m above bottom,0,78
CE04OSBP-LJ01C-05-ADCPSI103,CE,CE04OSBP,Endurance OR Offshore Benthic Pkg,LJ(LP Jbox),ADCPS,Velocity Profiler (long range),ADCPs capable of measuring 500 m or greater from the instrument,Teledyne RDI,WorkHorse LongRanger Monitor 75khz,Echo Intensity; Velocity Profile ,"Mounted 2m above bottom, uplooking",498,498
CE04OSBP-LJ01C-06-CTDBPO108,CE,CE04OSBP,Endurance OR Offshore Benthic Pkg,LJ(LP Jbox),CTDBP,CTD Pumped,CTDs equiped with a bottom pump,Sea-Bird,SBE 16plusV2,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,2m above bottom,498,498
CE04OSBP-LJ01C-06-DOSTAD108,CE,CE04OSBP,Endurance OR Offshore Benthic Pkg,LJ(LP Jbox),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,2m above bottom,498,498
CE04OSBP-LJ01C-07-VEL3DC107,CE,CE04OSBP,Endurance OR Offshore Benthic Pkg,LJ(LP Jbox),VEL3D,3-D Single Point Velocity Meter,"3-D single point velocity, fast enough to measure fluctuating velocity in u,v,w (u',v',w') or platform motion on moving profilers",Nortek,VECTOR,Mean Point Water Velocity; Turbulent Point Water Velocity ,2m above bottom,498,498
CE04OSBP-LJ01C-08-OPTAAC104,CE,CE04OSBP,Endurance OR Offshore Benthic Pkg,LJ(LP Jbox),OPTAA,Absorption Spectrophotometer,Measures optical attenuation and absorption,WET Labs,AC-S Deep,Optical Absorption Coefficient; Reference Absorption; Signal Absorption; Optical Beam Attenuation Coefficient; Reference Beam Attenuation; Signal Beam Attenuation; Temperature from OPTAA ,2m above bottom,498,498
CE04OSBP-LJ01C-09-PCO2WB104,CE,CE04OSBP,Endurance OR Offshore Benthic Pkg,LJ(LP Jbox),PCO2W,pCO2 Water,Measures partial pressure of CO2 in the water column,Sunburst,SAMI-pCO2,Optical Absorbance Ratio at 434nm; Optical Absorbance Ratio at 620nm; PCO2W Thermistor Temperature; Partial Pressure of CO2 in Water,2m above bottom,498,498
CE04OSBP-LJ01C-10-PHSEND107,CE,CE04OSBP,Endurance OR Offshore Benthic Pkg,LJ(LP Jbox),PHSEN,Seawater pH,pH,Sunburst,SAMI-pH,PHSEN Thermistor Temperature; Optical Absorbance Signal Intensity at 434nm; Optical Absorbance Signal Intensity at 578nm; pH,2m above bottom,498,498
CE04OSBP-LJ01C-11-HYDBBA105,CE,CE04OSBP,Endurance OR Offshore Benthic Pkg,LJ(LP Jbox),HYDBB,Broadband Acoustic Receiver (Hydrophone),"Broadband (Passive) Acoustic Receiver in the water column to measure acoustic signal ofmarine mammals, fish, wind, and rain",Ocean Sonics,icListen HF,Broadband Acoustic pressure waves ; Broadband Frequency ,2m above bottom,498,498
CE04OSBP-LJ01C-12-CAMDSB106,CE,CE04OSBP,Endurance OR Offshore Benthic Pkg,LJ(LP Jbox),CAMDS,Digital Still Camera with Strobes,"Ethernet Camera with strobes for digital still imagery of water column biology, vents, diffuse flow, seeps, macrofauna",Kongsberg,Modified OE14-408,Still Image ,2m above bottom,498,498
CE04OSHY-DP01B-01-CTDPFL105,CE,CE04OSHY,Endurance OR Offshore Hybrid Profiler Mooring,DP(Deep Profiler),CTDPF,CTD Profiler,CTDs to be mounted on a profiler,Sea-Bird,SBE 52MP,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,Near bottom to 175m below surface,175,577
CE04OSHY-DP01B-02-VEL3DA105,CE,CE04OSHY,Endurance OR Offshore Hybrid Profiler Mooring,DP(Deep Profiler),VEL3D,3-D Single Point Velocity Meter,"3-D single point velocity, fast enough to measure fluctuating velocity in u,v,w (u',v',w') or platform motion on moving profilers",Falmouth Scientific,ACM-3D-MP,Mean Point Water Velocity; Turbulent Point Water Velocity ,Near bottom to 175m below surface,175,577
