Textbox8,tbToday
Port Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Port,Attribute,AttributeValue
CE02SHSM-SB001-05,depth_subsite,80
CE02SHSM-SB001-05,First Deployment Date,2014-10
CE02SHSM-SB001-05,latitude,44.64
CE02SHSM-SB001-05,longitude,124.31
CE02SHSM-SB001-05,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-SB001-05,Relative Depth,1m below sea surface
CE02SHSM-SB001-06,depth_port_max,0
CE02SHSM-SB001-06,depth_port_min,0
CE02SHSM-SB001-06,depth_subsite,80
CE02SHSM-SB001-06,First Deployment Date,2014-10
CE02SHSM-SB001-06,latitude,44.64
CE02SHSM-SB001-06,longitude,124.31
CE02SHSM-SB001-06,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-SB001-06,Relative Depth,Sea Surface
CE02SHSP-SP001-01,depth_port_max,78
CE02SHSP-SP001-01,depth_port_min,0
CE02SHSP-SP001-01,depth_subsite,80
CE02SHSP-SP001-01,First Deployment Date,2014-07
CE02SHSP-SP001-01,latitude,44.64
CE02SHSP-SP001-01,longitude,124.31
CE02SHSP-SP001-01,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE02SHSP-SP001-01,Relative Depth,Sea surface to 2m above bottom
CE02SHSP-SP001-02,depth_port_max,78
CE02SHSP-SP001-02,depth_port_min,0
CE02SHSP-SP001-02,depth_subsite,80
CE02SHSP-SP001-02,First Deployment Date,2014-07
CE02SHSP-SP001-02,latitude,44.64
CE02SHSP-SP001-02,longitude,124.31
CE02SHSP-SP001-02,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE02SHSP-SP001-02,Relative Depth,Sea surface to 2m above bottom
CE02SHSP-SP001-03,depth_port_max,78
CE02SHSP-SP001-03,depth_port_min,0
CE02SHSP-SP001-03,depth_subsite,80
CE02SHSP-SP001-03,First Deployment Date,2014-07
CE02SHSP-SP001-03,latitude,44.64
CE02SHSP-SP001-03,longitude,124.31
CE02SHSP-SP001-03,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE02SHSP-SP001-03,Relative Depth,Sea surface to 2m above bottom
CE02SHSP-SP001-04,depth_port_max,78
CE02SHSP-SP001-04,depth_port_min,0
CE02SHSP-SP001-04,depth_subsite,80
CE02SHSP-SP001-04,First Deployment Date,2014-07
CE02SHSP-SP001-04,latitude,44.64
CE02SHSP-SP001-04,longitude,124.31
CE02SHSP-SP001-04,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE02SHSP-SP001-04,Relative Depth,Sea surface to 2m above bottom
CE02SHSP-SP001-05,depth_port_max,78
CE02SHSP-SP001-05,depth_port_min,0
CE02SHSP-SP001-05,depth_subsite,80
CE02SHSP-SP001-05,First Deployment Date,2014-07
CE02SHSP-SP001-05,latitude,44.64
CE02SHSP-SP001-05,longitude,124.31
CE02SHSP-SP001-05,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE02SHSP-SP001-05,Relative Depth,Sea surface to 2m above bottom
CE02SHSP-SP001-06,depth_port_max,78
CE02SHSP-SP001-06,depth_port_min,0
CE02SHSP-SP001-06,depth_subsite,80
CE02SHSP-SP001-06,First Deployment Date,2014-07
CE02SHSP-SP001-06,latitude,44.64
