Textbox8,tbToday
Class Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Class_Name,Attribute,AttributeValue
FLOBN,Benthic Flow,PrimaryScienceDiscipline,C
FLOBN,Benthic Flow,Produces Acoustic Interference,
FLOBN,Benthic Flow,Ready for 2013?,
FLOBN,Benthic Flow,RSN O&M Spares,
FLOBN,Benthic Flow,RSN Part Number,
FLOBN,Benthic Flow,Susceptible to Acoustic Interference,
FLOBN,Benthic Flow,"Vendor CLIN, SubCLIN or Model #",
FLORD,Fluorometer two wavelength,2009 Baseline Price*,"$5,600.00"
FLORD,Fluorometer two wavelength,2009 Deployed Instrument Count,35
FLORD,Fluorometer two wavelength,Alternate Instrument Class Name,2-Wavelength Fluorometer
FLORD,Fluorometer two wavelength,CE Spares,
FLORD,Fluorometer two wavelength,CGSN MREFC Spares,
FLORD,Fluorometer two wavelength,CGSN O&M Spares,
FLORD,Fluorometer two wavelength,CGSN P/N,
FLORD,Fluorometer two wavelength,ClassLongName,Fluorometer_two_wavelength
FLORD,Fluorometer two wavelength,Comments,
FLORD,Fluorometer two wavelength,CP Spares,
FLORD,Fluorometer two wavelength,Description,"2-Wavelength Fluorometer for measurement of fluorescence, Chl-a, optical backscatter"
FLORD,Fluorometer two wavelength,ECRs that changed the count,"ECR 1300-00177, ECR 1303-00796"
FLORD,Fluorometer two wavelength,Global Spares,
FLORD,Fluorometer two wavelength,Instrument Configuration,
FLORD,Fluorometer two wavelength,Link to the Specification,
FLORD,Fluorometer two wavelength,Notes,
FLORD,Fluorometer two wavelength,PrimaryScienceDiscipline,B
FLORD,Fluorometer two wavelength,Produces Acoustic Interference,
FLORD,Fluorometer two wavelength,Ready for 2013?,
FLORD,Fluorometer two wavelength,RSN O&M Spares,
FLORD,Fluorometer two wavelength,RSN Part Number,
FLORD,Fluorometer two wavelength,Susceptible to Acoustic Interference,
FLORD,Fluorometer two wavelength,"Vendor CLIN, SubCLIN or Model #",
FLORT,Fluorometer three wavelength,2009 Baseline Price*,"$13,905.00"
FLORT,Fluorometer three wavelength,2009 Deployed Instrument Count,42
FLORT,Fluorometer three wavelength,Alternate Instrument Class Name,3-Wavelength Fluorometer
FLORT,Fluorometer three wavelength,CE Spares,
FLORT,Fluorometer three wavelength,CGSN MREFC Spares,
FLORT,Fluorometer three wavelength,CGSN O&M Spares,
FLORT,Fluorometer three wavelength,CGSN P/N,
FLORT,Fluorometer three wavelength,ClassLongName,Fluorometer_three_wavelength
FLORT,Fluorometer three wavelength,Comments,
