Textbox8,tbToday
Family Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Family,Family_Name,Attribute,AttributeValue
RAS,Seafloor Fluid and DNA,CP Spares,
RAS,Seafloor Fluid and DNA,Description,
RAS,Seafloor Fluid and DNA,ECRs that changed the count,
RAS,Seafloor Fluid and DNA,Global Spares,
RAS,Seafloor Fluid and DNA,Instrument Configuration,
RAS,Seafloor Fluid and DNA,Link to the Specification,
RAS,Seafloor Fluid and DNA,Notes,
RAS,Seafloor Fluid and DNA,PrimaryScienceDiscipline,
RAS,Seafloor Fluid and DNA,Produces Acoustic Interference,
RAS,Seafloor Fluid and DNA,Ready for 2013?,
RAS,Seafloor Fluid and DNA,RSN O&M Spares,
RAS,Seafloor Fluid and DNA,RSN Part Number,
RAS,Seafloor Fluid and DNA,Susceptible to Acoustic Interference,
RAS,Seafloor Fluid and DNA,"Vendor CLIN, SubCLIN or Model #",
SFL,Seafloor Properties,2009 Baseline Price*,
SFL,Seafloor Properties,2009 Deployed Instrument Count,
SFL,Seafloor Properties,Alternate Instrument Class Name,
SFL,Seafloor Properties,CE Spares,
SFL,Seafloor Properties,CGSN MREFC Spares,
SFL,Seafloor Properties,CGSN O&M Spares,
SFL,Seafloor Properties,CGSN P/N,
SFL,Seafloor Properties,ClassLongName,
SFL,Seafloor Properties,Comments,
SFL,Seafloor Properties,CP Spares,
SFL,Seafloor Properties,Description,
SFL,Seafloor Properties,ECRs that changed the count,
SFL,Seafloor Properties,Global Spares,
SFL,Seafloor Properties,Instrument Configuration,
SFL,Seafloor Properties,Link to the Specification,
SFL,Seafloor Properties,Notes,
SFL,Seafloor Properties,PrimaryScienceDiscipline,
SFL,Seafloor Properties,Produces Acoustic Interference,
SFL,Seafloor Properties,Ready for 2013?,
SFL,Seafloor Properties,RSN O&M Spares,
SFL,Seafloor Properties,RSN Part Number,
SFL,Seafloor Properties,Susceptible to Acoustic Interference,
SFL,Seafloor Properties,"Vendor CLIN, SubCLIN or Model #",
TMP,Seafloor Temperature,2009 Baseline Price*,
TMP,Seafloor Temperature,2009 Deployed Instrument Count,
TMP,Seafloor Temperature,Alternate Instrument Class Name,
TMP,Seafloor Temperature,CE Spares,
TMP,Seafloor Temperature,CGSN MREFC Spares,
TMP,Seafloor Temperature,CGSN O&M Spares,
TMP,Seafloor Temperature,CGSN P/N,
TMP,Seafloor Temperature,ClassLongName,
TMP,Seafloor Temperature,Comments,
TMP,Seafloor Temperature,CP Spares,
TMP,Seafloor Temperature,Description,
TMP,Seafloor Temperature,ECRs that changed the count,
TMP,Seafloor Temperature,Global Spares,
TMP,Seafloor Temperature,Instrument Configuration,
TMP,Seafloor Temperature,Link to the Specification,
TMP,Seafloor Temperature,Notes,
TMP,Seafloor Temperature,PrimaryScienceDiscipline,
TMP,Seafloor Temperature,Produces Acoustic Interference,
TMP,Seafloor Temperature,Ready for 2013?,
TMP,Seafloor Temperature,RSN O&M Spares,
TMP,Seafloor Temperature,RSN Part Number,
TMP,Seafloor Temperature,Susceptible to Acoustic Interference,
