Textbox8,tbToday,Textbox2
Instrument Catalog (Full Location Detail),Report Generated: 4/28/2014,Total Instruments (723)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,Textbox11,LNode_NodeSequence,LPort_PortNumber,SClass_PublicID,SSeries_PublicID,LSlot_InstrumentSequence,SSubseries_PublicID,SSubseries_Description,MMInstrument_Manufacturer,MMInstrument_PublicID,MMInstrument_Description,First_Deployment_Date,Platform_Agent_Type,Ready_For_2013_,Susceptible_to_Acoustic_Interference,Produces_Acoustic_Interference
CP01CNSM-MF005-02-CTDBPD999,Pioneer Central Surface Mooring,01,CNSM,MF (Multi-Function Node),005,02,CTDBP,D,999,01,CTDBP Series D Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2013-11,InSitu CyberPoP - Surface Mooring Platform Controller,,,
CP03ISSM-MF004-04-CTDBPD999,Pioneer Inshore Surface Mooring,03,ISSM,MF (Multi-Function Node),004,04,CTDBP,D,999,01,CTDBP Series D Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-09,Shore CyberPoP - Coastal Mooring Server,,,
CE09OSSM-MF005-01-CTDBPE999,Endurance WA Offshore Surface Mooring,09,OSSM,MF (Multi-Function Node),005,01,CTDBP,E,999,01,CTDBP Series E Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,,,
CP04OSSM-MF004-04-CTDBPE999,Pioneer Offshore Surface Mooring,04,OSSM,MF (Multi-Function Node),004,04,CTDBP,E,999,01,CTDBP Series E Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-09,InSitu CyberPoP - Surface Mooring Platform Controller,,,
GA01SUMO-RI002-02-CTDBPF999,Argentine Basin Surface Mooring,01,SUMO,RI (Mooring Riser),002,02,CTDBP,F,999,01,CTDBP Series F Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2015-01,Shore CyberPoP - Global Mooring Server,,,
GI01SUMO-RI002-02-CTDBPF999,Irminger Sea Surface Mooring,01,SUMO,RI (Mooring Riser),002,02,CTDBP,F,999,01,CTDBP Series F Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-09,Shore CyberPoP - Global Mooring Server,,,
GS01SUMO-RI002-02-CTDBPF999,Southern Ocean Surface Mooring,01,SUMO,RI (Mooring Riser),002,02,CTDBP,F,999,01,CTDBP Series F Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-12,Shore CyberPoP - Global Mooring Server,,,
CE02SHBP-LJ01D-06-CTDBPN106,Endurance OR Shelf Benthic Pkg,02,SHBP,LJ (LP Jbox),01D,06,CTDBP,N,106,01,CTDBP Series N Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-07,Shore CyberPoP - Regional Observatory Management System,,,
CE04OSBP-LJ01C-06-CTDBPO108,Endurance OR Offshore Benthic Pkg,04,OSBP,LJ (LP Jbox),01C,06,CTDBP,O,108,01,CTDBP Series O Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-07,Shore CyberPoP - Regional Observatory Management System,,,
CE05MOAS-GL001-05-CTDGVM999,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,05,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-10,Shore CyberPoP - Coastal Glider Dock Server,,,
CE05MOAS-GL002-05-CTDGVM999,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,05,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-10,Shore CyberPoP - Coastal Glider Dock Server,,,
