Textbox8,tbToday
Series Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Series,Series_Name,Attribute,AttributeValue
CAMDS,C,CAMDS Series C,Notes,
CAMDS,C,CAMDS Series C,PrimaryScienceDiscipline,B
CAMDS,C,CAMDS Series C,Produces Acoustic Interference,
CAMDS,C,CAMDS Series C,Ready for 2013?,
CAMDS,C,CAMDS Series C,RSN O&M Spares,
CAMDS,C,CAMDS Series C,RSN Part Number,
CAMDS,C,CAMDS Series C,Susceptible to Acoustic Interference,
CAMDS,C,CAMDS Series C,"Vendor CLIN, SubCLIN or Model #",
CAMHD,A,CAMHD Series A,2009 Baseline Price*,
CAMHD,A,CAMHD Series A,2009 Deployed Instrument Count,1
CAMHD,A,CAMHD Series A,Alternate Instrument Class Name,HD Digital Video Camera with Strobes
CAMHD,A,CAMHD Series A,CE Spares,
