Textbox8,tbToday,Textbox2
Instrument Classes By Location,Report Generated: 4/28/2014,Total Instruments (723)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LNode_PublicID,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,NodeTypeName,LNode_NodeSequence,SClass_Description,SClass_PublicID,SSeries_PublicID,SSubseries_PublicID,MMInstrument_Manufacturer,MMInstrument_PublicID,SensorCount
CE05MOAS-GL004,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,Velocity profile Mobile Asset,ADCPA,M,01,Teledyne RDI,Explorer DVL 600 kHz,1
CE05MOAS-GL004,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,CTD Glider,CTDGV,M,01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),1
CE05MOAS-GL004,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,Oxygen dissolved stable,DOSTA,M,01,Aanderaa,Optode 4831,1
CE05MOAS-GL004,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,Fluorometer three wavelength,FLORT,M,01,WET Labs,ECO Puck FLBBCD-SLK,1
CE05MOAS-GL004,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,PAR,PARAD,M,01,Biospherical Instruments,QSP-2155,1
CE05MOAS-GL005,Endurance Mobile Assets,05,MOAS,GL (Gliders),005,Velocity profile Mobile Asset,ADCPA,M,01,Teledyne RDI,Explorer DVL 600 kHz,1
CE05MOAS-GL005,Endurance Mobile Assets,05,MOAS,GL (Gliders),005,CTD Glider,CTDGV,M,01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),1
CE05MOAS-GL005,Endurance Mobile Assets,05,MOAS,GL (Gliders),005,Oxygen dissolved stable,DOSTA,M,01,Aanderaa,Optode 4831,1
CE05MOAS-GL005,Endurance Mobile Assets,05,MOAS,GL (Gliders),005,Fluorometer three wavelength,FLORT,M,01,WET Labs,ECO Puck FLBBCD-SLK,1
CE05MOAS-GL005,Endurance Mobile Assets,05,MOAS,GL (Gliders),005,PAR,PARAD,M,01,Biospherical Instruments,QSP-2155,1
CE05MOAS-GL006,Endurance Mobile Assets,05,MOAS,GL (Gliders),006,Velocity profile Mobile Asset,ADCPA,M,01,Teledyne RDI,Explorer DVL 600 kHz,1
CE05MOAS-GL006,Endurance Mobile Assets,05,MOAS,GL (Gliders),006,CTD Glider,CTDGV,M,01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),1
CE05MOAS-GL006,Endurance Mobile Assets,05,MOAS,GL (Gliders),006,Oxygen dissolved stable,DOSTA,M,01,Aanderaa,Optode 4831,1
CE05MOAS-GL006,Endurance Mobile Assets,05,MOAS,GL (Gliders),006,Fluorometer three wavelength,FLORT,M,01,WET Labs,ECO Puck FLBBCD-SLK,1
CE05MOAS-GL006,Endurance Mobile Assets,05,MOAS,GL (Gliders),006,PAR,PARAD,M,01,Biospherical Instruments,QSP-2155,1
CE06ISSM-MF004,Endurance WA Inshore Surface Mooring,06,ISSM,MF (Multi-Function Node),004,Velocity profile Short Range,ADCPT,M,01,Teledyne RDI,WorkHorse Sentinel 600khz,1
CE06ISSM-MF004,Endurance WA Inshore Surface Mooring,06,ISSM,MF (Multi-Function Node),004,Oxygen dissolved stable,DOSTA,D,01,Aanderaa,Optode 4831,1
CE06ISSM-MF004,Endurance WA Inshore Surface Mooring,06,ISSM,MF (Multi-Function Node),004,pCO2 water,PCO2W,B,01,Sunburst,SAMI-pCO2,1
CE06ISSM-MF004,Endurance WA Inshore Surface Mooring,06,ISSM,MF (Multi-Function Node),004,Attenuation absorption optical,OPTAA,D,01,WET Labs,AC-S,1
CE06ISSM-MF004,Endurance WA Inshore Surface Mooring,06,ISSM,MF (Multi-Function Node),004,pH stable,PHSEN,D,01,Sunburst,SAMI-pH,1
CE06ISSM-MF005,Endurance WA Inshore Surface Mooring,06,ISSM,MF (Multi-Function Node),005,Camera digital still strobe,CAMDS,A,01,Kongsberg,Modified OE14-408,1
CE06ISSM-MF005,Endurance WA Inshore Surface Mooring,06,ISSM,MF (Multi-Function Node),005,CTD Bottom Pumped,CTDBP,C,01,Sea-Bird,SBE 16plusV2,1
CE06ISSM-MF005,Endurance WA Inshore Surface Mooring,06,ISSM,MF (Multi-Function Node),005,Pressure SF,PRESF,A,01,Sea-Bird,SBE 26plus,1
CE06ISSM-MF005,Endurance WA Inshore Surface Mooring,06,ISSM,MF (Multi-Function Node),005,Plankton ZP sonar coastal,ZPLSC,C,01,,,1
CE06ISSM-MF005,Endurance WA Inshore Surface Mooring,06,ISSM,MF (Multi-Function Node),005,Velocity point 3D turb,VEL3D,D,01,Nortek,VECTOR,1
